strategy,n_agents,trial,inter_collision,env_collision,deadlock,goal_rate,time_to_goal,simulated
astar,1,0,False,False,True,0.0,120.0,True
astar,1,1,False,False,True,0.0,120.0,True
astar,1,2,False,True,True,0.0,120.0,True
astar,1,3,False,False,True,1.0,41.155785824039796,True
astar,1,4,False,True,True,0.0,120.0,True
astar,1,5,False,False,True,1.0,28.287821794197008,True
astar,1,6,False,False,True,0.0,120.0,True
astar,1,7,False,True,True,0.0,120.0,True
astar,1,8,False,False,True,1.0,37.558108450548545,True
astar,1,9,False,True,False,0.0,120.0,True
astar,1,10,False,True,True,1.0,39.31185595802847,True
astar,1,11,False,False,True,1.0,29.228631490161323,True
astar,1,12,False,True,True,0.0,120.0,True
astar,1,13,False,False,True,0.0,120.0,True
astar,1,14,False,True,True,1.0,41.10000144563733,True
astar,1,15,False,False,True,1.0,37.02383579082989,True
astar,1,16,False,False,True,0.0,120.0,True
astar,1,17,False,False,True,1.0,45.46458917864077,True
astar,1,18,False,False,True,1.0,32.65580479009957,True
astar,1,19,False,False,True,1.0,40.55343064639948,True
astar,2,0,False,True,True,0.0,120.0,True
astar,2,1,False,False,True,0.0,120.0,True
astar,2,2,True,True,True,0.0,120.0,True
astar,2,3,False,False,True,0.0,120.0,True
astar,2,4,False,False,True,0.0,120.0,True
astar,2,5,True,False,True,0.0,120.0,True
astar,2,6,False,False,True,0.0,120.0,True
astar,2,7,True,False,True,1.0,36.706152202570024,True
astar,2,8,False,False,True,0.0,120.0,True
astar,2,9,False,True,True,0.0,120.0,True
astar,2,10,True,False,True,0.0,120.0,True
astar,2,11,False,False,True,0.0,120.0,True
astar,2,12,True,True,True,0.0,120.0,True
astar,2,13,True,False,True,0.0,120.0,True
astar,2,14,True,False,True,0.0,120.0,True
astar,2,15,True,False,True,0.0,120.0,True
astar,2,16,True,False,True,0.5,40.299339972117416,True
astar,2,17,False,False,True,0.5,38.823522144271756,True
astar,2,18,False,False,True,0.5,30.90539363508083,True
astar,2,19,True,True,True,0.0,120.0,True
astar,3,0,True,False,True,0.0,120.0,True
astar,3,1,True,True,True,0.0,120.0,True
astar,3,2,True,False,True,0.0,120.0,True
astar,3,3,True,True,True,0.0,120.0,True
astar,3,4,True,False,True,0.0,120.0,True
astar,3,5,True,False,True,0.0,120.0,True
astar,3,6,True,False,True,0.3333333333333333,41.8329882818365,True
astar,3,7,True,False,True,0.0,120.0,True
astar,3,8,True,False,True,0.0,120.0,True
astar,3,9,True,False,True,0.0,120.0,True
astar,3,10,True,True,True,0.0,120.0,True
astar,3,11,True,True,True,0.0,120.0,True
astar,3,12,True,True,True,0.0,120.0,True
astar,3,13,True,False,True,0.0,120.0,True
astar,3,14,True,True,True,0.0,120.0,True
astar,3,15,True,True,True,0.0,120.0,True
astar,3,16,True,False,True,0.3333333333333333,46.58094236750054,True
astar,3,17,True,False,True,0.3333333333333333,25.433390913480917,True
astar,3,18,True,False,True,0.0,120.0,True
astar,3,19,True,True,True,0.3333333333333333,47.47858669391395,True
sac,1,0,False,False,False,1.0,57.20754168317455,True
sac,1,1,False,False,True,1.0,45.46582071101443,True
sac,1,2,False,True,False,1.0,50.47645239692363,True
sac,1,3,False,False,True,0.0,120.0,True
sac,1,4,False,False,True,1.0,33.99571821042731,True
