method,density,success_rate,avg_time,trials
he_multiopt,0.15,0.7333333333333333,31.243709825533806,30
hybrid_drl,0.15,0.6666666666666666,26.781851676630613,30
neural_switching,0.15,0.7,26.924103248021098,30
fixed_rrt,0.15,0.7,39.78331802943544,30
fixed_ppo,0.15,0.7333333333333333,18.15562632154296,30
adaptive_ours,0.15,0.9333333333333333,47.78358141581217,30
he_multiopt,0.25,0.6666666666666666,31.793112367803168,30
hybrid_drl,0.25,0.6666666666666666,28.36198618486437,30
neural_switching,0.25,0.7,25.675186590338942,30
fixed_rrt,0.25,0.7,37.09027515150085,30
fixed_ppo,0.25,0.6333333333333333,16.395153789249335,30
adaptive_ours,0.25,0.8666666666666667,39.589126904805504,30
he_multiopt,0.35,0.5666666666666667,29.895538091886824,30
hybrid_drl,0.35,0.6333333333333333,27.705719206082765,30
neural_switching,0.35,0.8666666666666667,28.7201901032006,30
fixed_rrt,0.35,0.5666666666666667,40.925503689736594,30
fixed_ppo,0.35,0.7666666666666667,17.0642759856124,30
adaptive_ours,0.35,0.7666666666666667,10.603503478282478,30
he_multiopt,0.45,0.5,32.487803589416885,30
hybrid_drl,0.45,0.7,29.551053606996632,30
neural_switching,0.45,0.8,27.350427640172363,30
fixed_rrt,0.45,0.3,41.35358873812825,30
fixed_ppo,0.45,0.8333333333333334,16.13813226103678,30
adaptive_ours,0.45,0.9,11.842763048577151,30
he_multiopt,0.55,0.23333333333333334,32.08419220469306,30
hybrid_drl,0.55,0.6333333333333333,29.816236575424924,30
neural_switching,0.55,0.8666666666666667,25.66413949239475,30
fixed_rrt,0.55,0.13333333333333333,40.453182635742834,30
fixed_ppo,0.55,0.8333333333333334,16.14277899807781,30
adaptive_ours,0.55,0.8,11.460295907049609,30
