threshold,density,success,time_ms,selected,trial
0.25,0.1,True,10.594367980957031,RRT*,0
0.25,0.1,True,19.057273864746094,RRT*,1
0.25,0.1,True,20.669221878051758,RRT*,2
0.25,0.1,True,22.566556930541992,RRT*,3
0.25,0.1,True,12.297391891479492,RRT*,4
0.25,0.1,True,100.95763206481934,RRT*,5
0.25,0.1,True,21.162986755371094,RRT*,6
0.25,0.1,True,17.235517501831055,RRT*,7
0.25,0.1,True,110.47053337097168,RRT*,8
0.25,0.1,True,91.95423126220703,RRT*,9
0.25,0.1,True,6.538152694702148,RRT*,10
0.25,0.1,True,87.1882438659668,RRT*,11
0.25,0.1,True,3.076791763305664,RRT*,12
0.25,0.1,True,42.28806495666504,RRT*,13
0.25,0.1,True,19.616127014160156,RRT*,14
0.25,0.1,True,14.396429061889648,RRT*,15
0.25,0.1,True,16.80588722229004,RRT*,16
0.25,0.1,True,73.55618476867676,RRT*,17
0.25,0.1,False,42.65642166137695,RRT*,18
0.25,0.1,True,33.85186195373535,RRT*,19
0.25,0.1,True,15.276432037353516,RRT*,20
0.25,0.1,True,18.73016357421875,RRT*,21
0.25,0.1,True,6.179571151733398,RRT*,22
0.25,0.1,True,11.947870254516602,RRT*,23
0.25,0.1,True,19.776105880737305,RRT*,24
0.25,0.1,True,11.000871658325195,RRT*,25
0.25,0.1,True,1.8663406372070312,RRT*,26
0.25,0.1,True,62.294960021972656,RRT*,27
0.25,0.1,True,7.0972442626953125,RRT*,28
0.25,0.1,True,3.891468048095703,RRT*,29
0.25,0.1,True,5.464792251586914,RRT*,30
0.25,0.1,False,44.88182067871094,RRT*,31
0.25,0.1,True,26.536941528320312,RRT*,32
0.25,0.1,True,36.12947463989258,RRT*,33
0.25,0.1,True,10.51187515258789,RRT*,34
0.25,0.1,True,129.95386123657227,RRT*,35
0.25,0.1,True,11.406660079956055,RRT*,36
0.25,0.1,True,67.86799430847168,RRT*,37
0.25,0.1,True,79.90074157714844,RRT*,38
0.25,0.1,True,8.915424346923828,RRT*,39
0.25,0.1,True,10.919570922851562,RRT*,40
0.25,0.1,True,22.005558013916016,RRT*,41
0.25,0.1,True,13.948440551757812,RRT*,42
0.25,0.1,True,5.749225616455078,RRT*,43
0.25,0.1,True,72.73197174072266,RRT*,44
0.25,0.1,True,12.875080108642578,RRT*,45
0.25,0.1,True,8.36038589477539,RRT*,46
0.25,0.1,True,9.947538375854492,RRT*,47
0.25,0.1,True,5.557775497436523,RRT*,48
0.25,0.1,True,22.00794219970703,RRT*,49
0.25,0.15000000000000002,True,23.247480392456055,RRT*,0
0.25,0.15000000000000002,True,2.924203872680664,RRT*,1
0.25,0.15000000000000002,True,84.72704887390137,RRT*,2
0.25,0.15000000000000002,True,10.126829147338867,RRT*,3
0.25,0.15000000000000002,True,3.0112266540527344,RRT*,4
0.25,0.15000000000000002,True,3.2167434692382812,RRT*,5
0.25,0.15000000000000002,True,18.40662956237793,RRT*,6
0.25,0.15000000000000002,True,92.88144111633301,RRT*,7
0.25,0.15000000000000002,True,19.358396530151367,RRT*,8
0.25,0.15000000000000002,True,55.420637130737305,RRT*,9
0.25,0.15000000000000002,True,7.74073600769043,RRT*,10
0.25,0.15000000000000002,True,13.272523880004883,RRT*,11
0.25,0.15000000000000002,True,8.346796035766602,RRT*,12
0.25,0.15000000000000002,True,6.014823913574219,RRT*,13
0.25,0.15000000000000002,True,7.2727203369140625,RRT*,14
0.25,0.15000000000000002,True,36.83924674987793,RRT*,15
