trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency
0,sparse,0.4444,False,1,1,1,0.6942,0.7982,0.7982
1,very_dense,0.7472,False,1,1,1,0.7882,1.0060,1.0060
2,dense,0.6722,False,1,1,1,0.8173,0.8857,0.8857
3,dense,0.6083,False,1,1,1,0.8022,0.7903,0.7903
4,dense,0.6417,False,1,1,1,0.7615,0.7418,0.7418
5,very_dense,0.8611,False,1,1,1,0.7648,0.9321,0.9321
6,sparse,0.3889,False,1,1,1,0.8448,0.8486,0.8486
7,very_dense,0.9056,False,1,1,1,0.7874,0.8692,0.8692
8,sparse,0.4861,False,1,1,1,0.8224,0.8533,0.8533
9,sparse,0.2861,True,1,1,1,0.8451,0.9293,0.8451
10,dense,0.7528,False,1,1,1,0.8870,0.9605,0.9605
11,very_dense,0.7056,False,1,1,1,0.8751,1.1020,1.1020
12,very_dense,0.9083,False,0,0,0,0.1395,0.2284,0.2284
13,very_dense,0.6889,False,1,1,1,0.8668,1.2017,1.2017
14,very_dense,0.9028,False,0,1,1,0.2379,0.4308,0.4308
15,very_dense,0.6167,False,0,0,0,0.5700,0.4189,0.4189
16,dense,0.6083,False,1,1,1,0.8669,1.1007,1.1007
17,sparse,0.6528,False,1,1,1,0.9171,0.9319,0.9319
18,very_dense,0.5722,False,1,1,1,0.9235,1.3549,1.3549
19,dense,0.8833,False,1,1,1,0.8212,0.8667,0.8667
20,dense,0.7111,False,1,1,1,0.8892,0.9880,0.9880
21,dense,0.6111,False,1,1,1,0.8860,0.9041,0.9041
22,sparse,0.1500,True,1,1,1,0.8209,0.7946,0.8209
23,very_dense,0.7583,False,1,1,1,0.7950,0.9992,0.9992
24,very_dense,0.7472,False,1,1,1,0.8041,0.8921,0.8921
25,dense,0.7778,False,1,0,0,0.8391,0.7429,0.7429
26,dense,0.7556,False,1,1,1,0.7829,0.8959,0.8959
27,very_dense,0.7278,False,1,1,1,0.5887,0.7413,0.7413
28,dense,0.7917,False,1,1,1,0.7461,0.9534,0.9534
29,dense,0.4278,False,1,1,1,0.8530,0.8402,0.8402
30,dense,0.5194,False,1,0,0,0.8453,1.0507,1.0507
