trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency,astar_decision_ms,bc_decision_ms,adaptive_decision_ms
0,sparse,0.4444,False,1,1,1,0.6942,0.7982,0.7982,1.0155,0.6853,0.6521
1,very_dense,0.7472,False,1,1,1,0.7882,1.0060,1.0060,1.6707,0.9366,0.9238
2,dense,0.6722,False,1,1,1,0.8173,0.8857,0.8857,1.2688,0.8378,0.8320
3,dense,0.6083,False,1,1,1,0.8022,0.7903,0.7903,1.5992,1.1257,1.1151
4,dense,0.6417,False,1,1,1,0.7615,0.7418,0.7418,1.5447,1.0932,1.0857
5,very_dense,0.8611,False,1,1,1,0.7648,0.9321,0.9321,2.2579,0.9607,0.9564
6,sparse,0.3889,False,1,1,1,0.8448,0.8486,0.8486,0.5992,0.5135,0.4989
7,very_dense,0.9056,False,1,1,1,0.7874,0.8692,0.8692,1.6464,1.0105,0.9970
8,sparse,0.4861,False,1,1,1,0.8224,0.8533,0.8533,0.5950,0.4946,0.5172
9,sparse,0.2861,True,1,1,1,0.8451,0.9293,0.8451,0.5275,0.4562,0.5249
10,dense,0.7528,False,1,1,1,0.8870,0.9605,0.9605,0.8373,0.6421,0.6343
11,very_dense,0.7056,False,1,1,1,0.8751,1.1020,1.1020,0.8944,0.6407,0.6375
12,very_dense,0.9083,False,0,0,0,0.1395,0.2284,0.2284,2.3215,0.9494,0.9644
13,very_dense,0.6889,False,1,1,1,0.8668,1.2017,1.2017,1.2005,0.6248,0.6335
14,very_dense,0.9028,False,0,1,1,0.2379,0.4308,0.4308,1.6287,0.7414,0.7356
15,very_dense,0.6167,False,0,0,0,0.5700,0.4189,0.4189,1.0613,0.5907,0.5868
16,dense,0.6083,False,1,1,1,0.8669,1.1007,1.1007,0.8224,0.5892,0.5813
17,sparse,0.6528,False,1,1,1,0.9171,0.9319,0.9319,0.4847,0.4360,0.4351
18,very_dense,0.5722,False,1,1,1,0.9235,1.3549,1.3549,1.0062,0.6299,0.6284
19,dense,0.8833,False,1,1,1,0.8212,0.8667,0.8667,1.1731,0.7904,0.7833
20,dense,0.7111,False,1,1,1,0.8892,0.9880,0.9880,0.8680,0.6372,0.6559
21,dense,0.6111,False,1,1,1,0.8860,0.9041,0.9041,0.9092,0.7014,0.7266
22,sparse,0.1500,True,1,1,1,0.8209,0.7946,0.8209,0.6325,0.5467,0.6265
23,very_dense,0.7583,False,1,1,1,0.7950,0.9992,0.9992,2.3348,1.1708,1.1625
24,very_dense,0.7472,False,1,1,1,0.8041,0.8921,0.8921,1.3635,0.8640,0.8762
25,dense,0.7778,False,1,0,0,0.8391,0.7429,0.7429,1.0815,0.5105,0.4981
26,dense,0.7556,False,1,1,1,0.7829,0.8959,0.8959,1.7480,1.0209,0.9939
27,very_dense,0.7278,False,1,1,1,0.5887,0.7413,0.7413,4.0382,1.8402,1.8207
28,dense,0.7917,False,1,1,1,0.7461,0.9534,0.9534,1.6276,0.8196,0.8501
29,dense,0.4278,False,1,1,1,0.8530,0.8402,0.8402,1.0972,0.8233,0.8237
30,dense,0.5194,False,1,0,0,0.8453,1.0507,1.0507,1.0225,0.5004,0.5003
31,sparse,0.3833,False,1,1,1,0.7457,0.6935,0.6935,0.8228,0.6989,0.6797
32,sparse,0.2000,True,1,1,1,0.7156,0.7239,0.7156,0.8298,0.6694,0.8138
33,dense,0.4500,False,1,1,1,0.4867,0.7072,0.7072,3.2432,1.4232,1.4181
34,very_dense,0.7778,False,1,1,1,0.8845,1.1045,1.1045,1.1940,0.7163,0.7122
35,sparse,0.1639,True,1,1,1,0.8256,0.8210,0.8256,0.5749,0.4998,0.5723
36,very_dense,0.7750,False,0,0,0,,,,5.3026,0.5606,0.5638
37,very_dense,0.6972,False,1,1,1,0.5510,0.6035,0.6035,4.3672,2.5167,2.5107
38,sparse,0.7583,False,1,1,1,0.8562,0.9576,0.9576,0.6188,0.5026,0.5023
39,dense,0.9000,False,1,1,1,0.8576,0.8896,0.8896,1.0526,0.7323,1.1205
40,sparse,0.2222,True,1,1,1,0.7608,0.7453,0.7608,0.7662,0.6466,0.7622
41,very_dense,0.8528,False,1,1,1,0.8926,1.2032,1.2032,1.0626,0.6886,0.6858
42,very_dense,0.7861,False,0,1,1,,,,1.7984,0.8479,0.8436
43,dense,0.7889,False,1,1,1,0.8253,1.3024,1.3024,1.0496,0.6172,0.6169
44,sparse,0.2083,True,1,1,1,0.7397,0.7555,0.7397,0.7998,0.6350,0.7994
45,very_dense,0.7694,False,0,0,0,0.1450,0.3918,0.3918,2.2941,0.5778,0.5769
46,dense,0.6056,False,0,1,1,,,,3.2582,0.7474,0.7426
47,very_dense,0.8000,False,1,0,0,0.8587,0.9642,0.9642,0.9014,0.5661,0.5740
48,very_dense,0.8417,False,1,1,1,0.8103,0.3692,0.3692,1.2746,1.1002,1.0921
49,very_dense,0.8944,False,0,0,0,,,,2.0319,0.5649,0.5709
50,very_dense,0.6750,False,1,1,1,0.8336,0.8601,0.8601,1.5745,1.0068,1.4198
51,sparse,0.1278,True,1,1,1,0.7723,0.8129,0.7723,0.8989,0.7050,0.8370
52,dense,0.7694,False,1,1,1,0.8471,1.0325,1.0325,1.3273,1.5773,0.6802
