world,strategy,trial,goal_rate,inter_collision
sparse,astar_real,0,0.5,True
sparse,astar_real,1,0.75,True
sparse,astar_real,2,1.0,False
sparse,astar_real,3,0.75,True
sparse,astar_real,4,0.75,True
sparse,astar_real,5,0.75,True
sparse,astar_real,6,0.75,True
sparse,astar_real,7,1.0,False
sparse,astar_real,8,0.5,True
sparse,astar_real,9,1.0,False
sparse,astar_real,10,0.75,True
sparse,astar_real,11,0.5,True
sparse,astar_real,12,0.5,True
sparse,astar_real,13,1.0,False
sparse,astar_real,14,1.0,False
sparse,astar_real,15,0.5,True
sparse,astar_real,16,0.5,True
sparse,astar_real,17,0.5,True
sparse,astar_real,18,0.75,True
sparse,astar_real,19,0.5,True
sparse,sac,0,0.5,True
sparse,sac,1,0.5,True
sparse,sac,2,0.75,False
sparse,sac,3,0.5,False
sparse,sac,4,0.5,True
sparse,sac,5,0.75,True
sparse,sac,6,0.75,False
sparse,sac,7,1.0,False
sparse,sac,8,0.5,True
sparse,sac,9,1.0,False
sparse,sac,10,0.75,True
sparse,sac,11,0.5,True
sparse,sac,12,0.0,True
sparse,sac,13,0.75,False
sparse,sac,14,0.5,False
sparse,sac,15,0.5,True
sparse,sac,16,0.25,True
sparse,sac,17,0.25,True
sparse,sac,18,0.75,False
sparse,sac,19,0.5,True
dense,astar_real,0,1.0,False
dense,astar_real,1,0.5,True
dense,astar_real,2,0.5,True
dense,astar_real,3,1.0,False
dense,astar_real,4,0.5,True
dense,astar_real,5,0.25,True
dense,astar_real,6,0.5,True
dense,astar_real,7,1.0,False
dense,astar_real,8,0.5,True
dense,astar_real,9,0.0,True
dense,astar_real,10,0.5,True
dense,astar_real,11,0.5,True
dense,astar_real,12,0.0,True
dense,astar_real,13,1.0,False
dense,astar_real,14,0.5,True
dense,astar_real,15,0.5,True
dense,astar_real,16,0.75,True
dense,astar_real,17,0.25,True
dense,astar_real,18,0.5,True
dense,astar_real,19,0.75,True
dense,sac,0,0.75,False
dense,sac,1,0.25,False
dense,sac,2,0.0,True
dense,sac,3,0.5,True
dense,sac,4,0.5,False
dense,sac,5,0.5,False
dense,sac,6,0.5,False
dense,sac,7,0.75,True
dense,sac,8,0.25,True
dense,sac,9,0.25,True
dense,sac,10,0.5,True
dense,sac,11,0.5,False
dense,sac,12,0.25,True
dense,sac,13,0.5,False
dense,sac,14,0.25,True
dense,sac,15,0.5,False
dense,sac,16,0.25,True
dense,sac,17,0.0,True
dense,sac,18,0.0,False
dense,sac,19,0.25,False
very_dense,astar_real,0,0.5,True
very_dense,astar_real,1,0.5,False
very_dense,astar_real,2,0.25,True
very_dense,astar_real,3,0.25,False
very_dense,astar_real,4,0.75,False
very_dense,astar_real,5,0.25,True
very_dense,astar_real,6,0.25,True
very_dense,astar_real,7,0.25,True
very_dense,astar_real,8,0.25,True
very_dense,astar_real,9,0.0,True
very_dense,astar_real,10,0.0,True
very_dense,astar_real,11,0.5,False
very_dense,astar_real,12,0.25,True
very_dense,astar_real,13,0.25,True
very_dense,astar_real,14,0.25,True
very_dense,astar_real,15,0.75,False
very_dense,astar_real,16,0.25,True
very_dense,astar_real,17,0.75,False
very_dense,astar_real,18,0.75,False
very_dense,astar_real,19,0.0,True
very_dense,sac,0,0.25,True
very_dense,sac,1,0.25,False
very_dense,sac,2,0.0,True
very_dense,sac,3,0.5,True
very_dense,sac,4,0.0,True
very_dense,sac,5,0.25,False
very_dense,sac,6,0.25,False
very_dense,sac,7,0.25,True
very_dense,sac,8,0.0,True
very_dense,sac,9,0.0,True
very_dense,sac,10,0.25,True
very_dense,sac,11,0.25,False
very_dense,sac,12,0.25,False
very_dense,sac,13,0.5,True
very_dense,sac,14,0.0,True
very_dense,sac,15,0.5,False
very_dense,sac,16,0.5,False
very_dense,sac,17,0.5,False
very_dense,sac,18,0.25,True
very_dense,sac,19,0.25,True
