strategy,density,success_rate,n_trials
adaptive,0.05,0.94,500
adaptive,0.1,0.932,500
adaptive,0.15000000000000002,0.854,500
adaptive,0.2,0.8,500
adaptive,0.25,0.674,500
adaptive,0.3,0.796,500
adaptive,0.35000000000000003,0.858,500
adaptive,0.4,0.918,500
adaptive,0.45,0.96,500
adaptive,0.5,0.954,500
adaptive,0.55,0.956,500
adaptive,0.6000000000000001,0.97,500
random,0.05,0.73,500
random,0.1,0.766,500
random,0.15000000000000002,0.73,500
random,0.2,0.742,500
random,0.25,0.724,500
random,0.3,0.692,500
random,0.35000000000000003,0.674,500
random,0.4,0.61,500
random,0.45,0.62,500
random,0.5,0.562,500
random,0.55,0.566,500
random,0.6000000000000001,0.518,500
always_classic,0.05,0.944,500
always_classic,0.1,0.952,500
always_classic,0.15000000000000002,0.856,500
always_classic,0.2,0.774,500
always_classic,0.25,0.656,500
always_classic,0.3,0.59,500
always_classic,0.35000000000000003,0.446,500
always_classic,0.4,0.424,500
always_classic,0.45,0.308,500
always_classic,0.5,0.234,500
always_classic,0.55,0.162,500
always_classic,0.6000000000000001,0.068,500
always_rl,0.05,0.56,500
always_rl,0.1,0.558,500
always_rl,0.15000000000000002,0.652,500
always_rl,0.2,0.676,500
always_rl,0.25,0.722,500
always_rl,0.3,0.8,500
always_rl,0.35000000000000003,0.858,500
always_rl,0.4,0.918,500
always_rl,0.45,0.942,500
always_rl,0.5,0.944,500
always_rl,0.55,0.95,500
always_rl,0.6000000000000001,0.952,500
