method,density,success_rate,trials
adaptive_ours,0.15,0.886,500
adaptive_ours,0.25,0.682,500
adaptive_ours,0.35,0.876,500
adaptive_ours,0.45,0.954,500
adaptive_ours,0.55,0.954,500
fixed_ppo,0.15,0.574,500
fixed_ppo,0.25,0.742,500
fixed_ppo,0.35,0.84,500
fixed_ppo,0.45,0.95,500
fixed_ppo,0.55,0.962,500
fixed_rrt,0.15,0.872,500
fixed_rrt,0.25,0.7,500
fixed_rrt,0.35,0.504,500
fixed_rrt,0.45,0.322,500
fixed_rrt,0.55,0.118,500
random_switching,0.15,0.712,500
random_switching,0.25,0.702,500
random_switching,0.35,0.684,500
random_switching,0.45,0.626,500
random_switching,0.55,0.546,500
