tau,split,n,success,regret
0.1,train,750,0.8373,0.0893
0.15,train,750,0.8373,0.0893
0.2,train,750,0.8373,0.0893
0.25,train,750,0.8373,0.0893
0.3,train,750,0.8360,0.0907
0.35,train,750,0.8360,0.0907
0.4,train,750,0.8400,0.0867
0.45,train,750,0.8413,0.0853
0.5,train,750,0.8427,0.0840
0.55,train,750,0.8440,0.0827
0.6,train,750,0.8453,0.0813
0.1,test,750,0.8493,0.0853
0.15,test,750,0.8493,0.0853
0.2,test,750,0.8493,0.0853
0.25,test,750,0.8493,0.0853
0.3,test,750,0.8507,0.0840
0.35,test,750,0.8507,0.0840
0.4,test,750,0.8520,0.0827
0.45,test,750,0.8560,0.0787
0.5,test,750,0.8573,0.0773
0.55,test,750,0.8587,0.0760
0.6,test,750,0.8600,0.0747
